antecedents,consequents,support,confidence,lift,leverage,conviction,minsup_test,minconf_test
"bebidas_alcoolicas,carnes_embutidas_defumadas,peixes_frutosdomar",enlatados_conserva_vacuo,0.15323645970937913,0.7945205479452054,1.7038301835538825,0.0632999970334125,2.597269925143108,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas,padaria",enlatados_conserva_vacuo,0.11492734478203434,0.7767857142857142,1.6657982598138403,0.045934989852525684,2.3909114927344772,0.1,0.6
"enlatados_conserva_vacuo,frango","carnes_embutidas_defumadas,doces_industrializados",0.14795244385733158,0.6666666666666667,1.6492374727668848,0.058242837872503075,1.7873183619550865,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas,verduras_hortalicas",enlatados_conserva_vacuo,0.17305151915455746,0.7660818713450293,1.642844126368802,0.0677149772532541,2.281505944517834,0.1,0.6
"carnes_embutidas_defumadas,matinais,peixes_frutosdomar",enlatados_conserva_vacuo,0.1453104359313078,0.763888888888889,1.6381413282971358,0.05660597959336812,2.260315486828814,0.1,0.6
"carnes_embutidas_defumadas,frango,peixes_frutosdomar",enlatados_conserva_vacuo,0.11756935270805813,0.7606837606837608,1.6312680080385464,0.04549698193348213,2.230043404415928,0.1,0.6
"carnes_embutidas_defumadas,peixes_frutosdomar,verduras_hortalicas",enlatados_conserva_vacuo,0.190224570673712,0.7578947368421052,1.625287013567914,0.0731839685611527,2.204353569582447,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas","enlatados_conserva_vacuo,verduras_hortalicas",0.17305151915455746,0.6150234741784038,1.6222047733555807,0.06637477772406897,1.6127525211843927,0.1,0.6
"carnes_embutidas_defumadas,matinais","enlatados_conserva_vacuo,verduras_hortalicas",0.166446499339498,0.6146341463414634,1.6211778703152886,0.06377639608480253,1.611123187799943,0.1,0.6
"carnes_embutidas_defumadas,matinais,verduras_hortalicas",enlatados_conserva_vacuo,0.166446499339498,0.7544910179640718,1.6179878203932079,0.06357397011424852,2.1737925701581977,0.1,0.6
"carnes_embutidas_defumadas,matinais","enlatados_conserva_vacuo,tuberculos",0.18229854689564068,0.6731707317073171,1.6126273541216425,0.06925411265005262,1.782468108598356,0.1,0.6
"carnes_embutidas_defumadas,frango,matinais",enlatados_conserva_vacuo,0.10700132100396301,0.75,1.608356940509915,0.040472978750508246,2.1347424042272127,0.1,0.6
"frango,matinais,peixes_frutosdomar",enlatados_conserva_vacuo,0.11096433289299867,0.7499999999999999,1.6083569405099147,0.04197197796349002,2.134742404227212,0.1,0.6
"enlatados_conserva_vacuo,frango","carnes_embutidas_defumadas,tuberculos",0.14927344782034346,0.6726190476190477,1.6062227730208805,0.05633898671841327,1.7754293262879792,0.1,0.6
"carnes_embutidas_defumadas,matinais","enlatados_conserva_vacuo,queijos",0.18494055482166447,0.6829268292682927,1.6055143160127254,0.06974970726761587,1.8123158215628496,0.1,0.6
"carnes_embutidas_defumadas,frango","doces_industrializados,enlatados_conserva_vacuo",0.14795244385733158,0.6588235294117648,1.5984917043740576,0.0553949138729847,1.7229991345146456,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas","enlatados_conserva_vacuo,tuberculos",0.18758256274768825,0.6666666666666666,1.5970464135021096,0.07012663838519917,1.7476882430647291,0.1,0.6
